gene_id	gene_name	log2FC	pvalue	funcao
AAEL_580721	mitochondrial_protein	4.3236	0.26822567	Metabolismo de aminoácidos
AJAP_989513	transport_protein	-0.0407	0.00423238	Metabolismo de aminoácidos
AALB_385205	antimicrobial_peptide	0.9448	0.0034689	Metabolismo de aminoácidos
AALB_664037	immune_response_protein	3.2069	0.00448984	Metabolismo de aminoácidos
AAEL_466824	juvenile_hormone_protein	-5.0842558445139385	0.08785859	Fototransdução
AAEL_249849	ribosomal_protein	0.0678	1e-12	Processamento de RNA
AAEL_151745	transcription_factor	-0.4845	0.03546356	Desenvolvimento de tecidos
AJAP_191865	ecdysone_response_protein	-0.155	1.43145e-06	Desenvolvimento de tecidos
AALB_312890	trypsin_like_protease	3.0532440848611215	0.27745163	Desenvolvimento embrionário
AALB_123321	actin_related_protein	-1.3174	0.00554012	Regulação transcricional
AAEL_909006	actin_related_protein	0.3517	0.09169973	Desenvolvimento de tecidos
AJAP_274293	DNA_repair_protein	-1.9127	0.02408981	Tradução
AJAP_883415	signal_transduction_protein	1.78	0.35140063	Metabolismo de carboidratos
AAEL_480975	transport_protein	-2.6449295259721213	0.03031669	Processamento de RNA
AAEL_759792	ubiquitin_ligase	-0.8882	0.01480823	Metabolismo de aminoácidos
AAEL_688579	immune_response_protein	-0.801	0.160749	Ciclo celular
AAEL_290471	transcription_factor	0.4959	7.195e-05	Transporte de membrana
AALB_572930	transport_protein	-1.4374	0.02920575	Resposta ao estresse
AAEL_843091	DNA_repair_protein	3.2616	0.04175883	Transporte de membrana
AAEL_575774	tubulin	3.5225996332674963	0.03374114	Resposta a patógenos
AALB_735605	ribosomal_protein	0.7079	0.08262335	Tradução
AAEL_489593	mitochondrial_protein	1.2266	0.00011685	Biossíntese de proteínas
AAEL_173686	ribosomal_protein	-1.043	6.074095e-06	Processamento de RNA
AAEL_668535	cytochrome_P450	1.9602	0.13986839	Desenvolvimento larval
AALB_772108	ubiquitin_ligase	0.2062	0.24313168	Desenvolvimento embrionário
AALB_366765	proteasome_subunit	1.7103	0.02094715	Vias de sinalização hormonal
AAEL_358930	glutathione_S_transferase	-0.3563	0.00147691	Neurogênese
AALB_760482	DNA_repair_protein	2.3711	0.02527071	Regulação transcricional
AALB_969270	ribosomal_protein	0.7224	0.21449389	Estresse oxidativo
AAEL_548874	DNA_repair_protein	3.9285	0.00555784	Desenvolvimento larval
AALB_953499	ecdysone_response_protein	-0.6651	0.02028515	Detoxificação
AAEL_218033	ubiquitin_ligase	0.3682	4.1259e-08	Metabolismo de carboidratos
AAEL_713157	heat_shock_protein	-5.3377522639070385	0.00816492	Fototransdução
AJAP_921106	DNA_repair_protein	-0.9527	0.0003429	Desenvolvimento embrionário
AJAP_670559	actin_related_protein	1.1136	0.00061735	Estresse oxidativo
AJAP_531734	ATP_synthase	2.0328	0.34925105	Estresse oxidativo
AAEL_765627	lipid_metabolism_protein	5.337	0.03151162	Metabolismo energético
AAEL_101062	actin_related_protein	-0.1739	0.18605193	Resposta imune
AALB_674736	glutathione_S_transferase	-1.6798	0.00050948	Metabolismo de lipídios
AAEL_499445	ubiquitin_ligase	1.356	0.00043524	Biossíntese de proteínas
AAEL_870173	juvenile_hormone_protein	-2.0301	0.0566869	Transporte de membrana
AALB_366776	transcription_factor	1.0157	0.50061786	Biossíntese de proteínas
AAEL_758956	membrane_receptor	-0.9041	0.08359755	Resposta ao estresse
AJAP_499384	odorant_receptor	0.3809	0.02955198	Neurogênese
AAEL_631849	heat_shock_protein	1.9639	0.37331625	Fototransdução
AALB_706440	ecdysone_response_protein	-0.1993	0.04746305	Metabolismo de carboidratos
AAEL_486193	DNA_repair_protein	1.6792	0.0096621	Neurogênese
AALB_126069	cytochrome_P450	1.5717	0.13817761	Regulação transcricional
AALB_637198	serine_protease	-3.3558	0.11202125	Neurogênese
AAEL_570951	transcription_factor	-1.6229	2.14e-10	Metabolismo energético
AJAP_123275	phosphatase	-2.8113	0.00598511	Detoxificação
AALB_574665	trypsin_like_protease	0.06525443578471801	0.09612545	Desenvolvimento de tecidos
AJAP_291076	ABC_transporter	-0.1897	0.10546992	Desenvolvimento embrionário
AJAP_809913	cytochrome_P450	3.2055	0.12615584	Metabolismo de aminoácidos
AALB_699991	proteasome_subunit	-2.9393	0.01208167	Ciclo celular
AJAP_903692	ABC_transporter	-1.031	0.3752555	Resposta a patógenos
AAEL_365956	actin_related_protein	1.4409	0.04193199	Transporte de membrana
AAEL_814016	antimicrobial_peptide	0.3227	0.20310678	Estresse oxidativo
AAEL_216421	ABC_transporter	0.9591	0.45084	Modificação de proteínas
AAEL_564374	RNA_binding_protein	-2.2569	0.05237635	Ciclo celular
AAEL_258211	signal_transduction_protein	2.4782	0.01451979	Metabolismo de lipídios
AAEL_287210	signal_transduction_protein	1.3986	8.703e-05	Detoxificação
AJAP_886237	signal_transduction_protein	0.7229	0.03438108	Desenvolvimento larval
AAEL_244990	tubulin	-1.2341	0.27415711	Biossíntese de proteínas
AAEL_258518	trypsin_like_protease	0.5828	0.00158251	Replicação do DNA
AALB_768406	heat_shock_protein	-0.5247	0.04744249	Replicação do DNA
AAEL_518034	serine_protease	-2.9709	0.00424555	Reparo do DNA
AJAP_890756	odorant_receptor	-0.0908	0.5742092	Desenvolvimento larval
AAEL_895543	ABC_transporter	-0.2821	0.03902025	Detoxificação
AJAP_746465	membrane_receptor	4.181170258816244	0.27997063	Apoptose
AALB_784106	odorant_receptor	-4.022	0.07504105	Replicação do DNA
AAEL_843246	ABC_transporter	0.4234	0.43813776	Regulação transcricional
AAEL_487952	signal_transduction_protein	-2.08	1.91e-10	Desenvolvimento larval
AJAP_899666	signal_transduction_protein	0.5746	0.22979347	Resposta imune
AALB_859224	cytochrome_P450	0.6737	0.07129668	Metabolismo de aminoácidos
AALB_625134	chitin_synthase	-0.1563	0.60432239	Metabolismo de aminoácidos
AALB_441383	ubiquitin_ligase	1.4531	0.26908102	Desenvolvimento de tecidos
AAEL_932946	ecdysone_response_protein	-2.2424	0.17686613	Regulação transcricional
AAEL_984011	ATP_synthase	1.9939	0.23318949	Interação hospedeiro-microrganismo
AAEL_237541	ubiquitin_ligase	-1.2745	0.07707008	Transporte de íons
AJAP_928533	odorant_receptor	-2.8006	0.00111697	Resposta a patógenos
AALB_716210	membrane_receptor	-0.4903	0.16310835	Resposta a patógenos
AAEL_280448	membrane_receptor	-3.7713	1e-10	Desenvolvimento de tecidos
AAEL_335659	DNA_repair_protein	0.4575	0.04255442	Estresse oxidativo
AAEL_954016	ubiquitin_ligase	-0.4667	0.19965002	Transporte de íons
AAEL_964909	ABC_transporter	2.2206	0.35145556	Resposta ao estresse
AALB_888260	signal_transduction_protein	1.1681	0.07250541	Proteólise
AALB_382762	odorant_receptor	-2.5056	0.14857103	Homeostase celular
AJAP_467436	chitin_synthase	-1.5091	0.22908363	Replicação do DNA
AALB_671650	immune_response_protein	0.9372	7.96e-10	Resposta a patógenos
AAEL_485925	kinase	1.5247	0.05287124	Resposta ao estresse
AALB_814743	lipid_metabolism_protein	-1.2449139153964568	0.26022339	Resposta a patógenos
AALB_182180	aquaporin	2.1861	0.33537426	Metabolismo de aminoácidos
AALB_503081	juvenile_hormone_protein	-0.1611	0.03355786	Desenvolvimento de tecidos
AALB_401953	ecdysone_response_protein	0.6528	0.12311106	Desenvolvimento de tecidos
AALB_105287	cytochrome_P450	2.3377	0.20394239	Transporte de íons
AALB_108512	ATP_synthase	-0.546	0.00085738	Desenvolvimento larval
AAEL_208872	transcription_factor	0.6835	0.13373499	Ciclo celular
AAEL_872042	DNA_repair_protein	-0.5884	0.09159841	Transporte de membrana
AAEL_704055	ABC_transporter	-0.9917	0.0862596	Desenvolvimento embrionário
AAEL_529474	signal_transduction_protein	0.0871	0.41698954	Reparo do DNA
AALB_142078	transcription_factor	-1.2376	0.22509268	Estresse oxidativo
AAEL_707812	signal_transduction_protein	-0.2356	0.11985163	Metabolismo de lipídios
AALB_636507	juvenile_hormone_protein	-1.8629	0.0514664	Neurogênese
AJAP_405073	ribosomal_protein	-0.342	0.000609220092	Desenvolvimento de tecidos
AAEL_429588	tubulin	0.8071	0.03629777	Interação hospedeiro-microrganismo
AAEL_988266	trypsin_like_protease	-1.0598	0.0278887	Replicação do DNA
AALB_820801	juvenile_hormone_protein	0.0167	0.01182261	Proteólise
AAEL_435842	heat_shock_protein	0.2508	0.00910963	Apoptose
AAEL_872608	serine_protease	0.8146	7.5e-11	Replicação do DNA
AAEL_791519	oxidative_stress_protein	-0.2404	0.07716908	Desenvolvimento de tecidos
AAEL_237023	transport_protein	1.9546	0.02726576	Biossíntese de proteínas
AJAP_632295	chitin_synthase	-3.7817	0.05073762	Fototransdução
AJAP_535048	ATP_synthase	2.689208823256638	0.20872881	Biossíntese de proteínas
AALB_451005	heat_shock_protein	-1.568	0.00316182	Desenvolvimento embrionário
AJAP_973172	ATP_synthase	0.7261	0.00021747	Transporte de íons
AJAP_622244	phosphatase	-1.6892	0.29453444	Transporte de íons
AAEL_779290	ribosomal_protein	1.1597	0.07694082	Proteólise
AJAP_599097	signal_transduction_protein	0.4978	0.00837493	Apoptose
AALB_907043	actin_related_protein	-1.1713	0.14177044	Metabolismo de aminoácidos
AJAP_114060	lipid_metabolism_protein	1.9316	4.875e-08	Modificação de proteínas
AJAP_577272	kinase	-0.2951	0.12911013	Estresse oxidativo
AAEL_929735	serine_protease	0.985	0.21038271	Resposta imune
AAEL_830406	serine_protease	-1.6509	1.435e-09	Vias de sinalização hormonal
AAEL_139711	phosphatase	-0.0556	0.06318214	Fototransdução
AAEL_435484	ABC_transporter	3.6061	0.13369405	Detoxificação
AJAP_318134	DNA_repair_protein	1.7333	0.00507147	Sinalização celular
AJAP_502400	actin_related_protein	0.5537	0.02112433	Ciclo celular
AAEL_692016	immune_response_protein	-0.8081	0.03579913	Metabolismo de carboidratos
AALB_635534	aquaporin	0.1215	0.31320599	Ciclo celular
AAEL_611937	ribosomal_protein	0.3556	0.40770804	Detoxificação
AAEL_192263	phosphatase	0.8086	0.16783155	Tradução
AAEL_635590	phosphatase	-1.938	0.00358656	Detoxificação
AAEL_665445	ABC_transporter	1.2031	0.02184263	Apoptose
AJAP_323810	glutathione_S_transferase	-1.9613	0.06287216	Regulação transcricional
AAEL_445266	serine_protease	2.936	0.22117833	Replicação do DNA
AALB_590025	membrane_receptor	-1.3889	0.16478635	Resposta imune
AALB_443054	DNA_repair_protein	-3.07497441535901	0.09550528	Interação hospedeiro-microrganismo
AAEL_957756	immune_response_protein	1.8093	0.06998824	Metabolismo de lipídios
AJAP_159379	signal_transduction_protein	-0.4543	0.16043392	Interação hospedeiro-microrganismo
AJAP_502662	proteasome_subunit	0.6131	0.01102207	Desenvolvimento de tecidos
AAEL_198723	transport_protein	2.5833	0.000160212436	Ciclo celular
AALB_372933	actin_related_protein	1.0159	0.03279104	Resposta a patógenos
AAEL_953088	transport_protein	0.64	0.11267556	Metabolismo de lipídios
AAEL_950916	proteasome_subunit	-6.50833903712306	0.33531764	Biossíntese de proteínas
AAEL_313942	immune_response_protein	-1.6807	0.58048166	Transporte de íons
AALB_465821	odorant_receptor	1.8845	0.11104428	Resposta a patógenos
AALB_381173	cytochrome_P450	1.0259	0.14567738	Interação hospedeiro-microrganismo
AAEL_132265	ATP_synthase	1.2986	4.1624e-08	Regulação transcricional
AAEL_343322	lipid_metabolism_protein	1.1437	0.01416683	Biossíntese de proteínas
AJAP_274944	oxidative_stress_protein	5.63868103134011	0.0083658	Metabolismo de carboidratos
AAEL_548396	DNA_repair_protein	-0.4705	0.00707414	Interação hospedeiro-microrganismo
AAEL_171907	ecdysone_response_protein	0.2169	0.0497277	Metabolismo de lipídios
AALB_302967	membrane_receptor	-1.8516	1.48334e-07	Estresse oxidativo
AJAP_402775	DNA_repair_protein	-2.3004	0.73335251	Metabolismo de aminoácidos
AAEL_856892	serine_protease	-2.9587	0.05222525	Transporte de íons
AALB_164772	transport_protein	-1.5933	1.229e-09	Neurogênese
AALB_114382	odorant_receptor	2.7946	0.10092367	Apoptose
AAEL_463339	ecdysone_response_protein	-2.7949	0.00717097	Transporte de membrana
AALB_382753	proteasome_subunit	-0.5464	0.08021025	Ciclo celular
AAEL_247550	phosphatase	-2.3277	0.0847753	Metabolismo de lipídios
AALB_532882	odorant_receptor	-1.0818	0.17564484	Modificação de proteínas
AALB_592313	chitin_synthase	0.3054	0.00011502	Modificação de proteínas
AALB_754618	ATP_synthase	-1.2602	1.1784e-08	Regulação transcricional
AAEL_695603	chitin_synthase	1.9614	0.18926656	Metabolismo de carboidratos
AJAP_488349	lipid_metabolism_protein	2.7612	0.06120623	Resposta a patógenos
AAEL_700613	ABC_transporter	-4.0484	0.24855933	Tradução
AAEL_155318	DNA_repair_protein	-1.2294	0.13092177	Regulação transcricional
AAEL_477177	ribosomal_protein	0.1065	2.3161696e-05	Ciclo celular
AALB_976906	juvenile_hormone_protein	2.027	0.06918181	Ciclo celular
AALB_306988	serine_protease	1.739919744829106	0.14993696	Resposta ao estresse
AAEL_225885	kinase	-0.0359	0.10658411	Metabolismo de carboidratos
AALB_641656	immune_response_protein	-2.0821	0.0019965	Desenvolvimento de tecidos
AAEL_288014	serine_protease	-2.759	0.19136614	Apoptose
AALB_330203	chitin_synthase	2.6017	2.7584e-08	Estresse oxidativo
AAEL_795275	odorant_receptor	-3.2833	0.26028154	Detoxificação
AALB_311951	odorant_receptor	4.1915	0.14214192	Biossíntese de proteínas
AAEL_295716	tubulin	1.3053	0.11106298	Replicação do DNA
AJAP_415172	serine_protease	1.224	0.21719662	Ciclo celular
AAEL_100126	lipid_metabolism_protein	1.0358	0.03722101	Replicação do DNA
AAEL_127632	mitochondrial_protein	-0.4548	0.07505939	Homeostase celular
AAEL_820670	ubiquitin_ligase	-2.5473850221864205	0.28631542	Reparo do DNA
AJAP_417320	oxidative_stress_protein	-0.34	0.02993874	Transporte de íons
AJAP_841426	transport_protein	0.9955	0.041784	Metabolismo de carboidratos
AAEL_275399	trypsin_like_protease	-0.0606	0.30287965	Detoxificação
AALB_234869	chitin_synthase	-1.7106	5.2e-11	Interação hospedeiro-microrganismo
AJAP_769078	immune_response_protein	-1.567	2.2499e-08	Transporte de membrana
AALB_963021	ATP_synthase	-1.7717	0.00061364	Proteólise
AALB_232717	odorant_receptor	1.7476	1.02e-10	Tradução
AAEL_748373	aquaporin	-1.1114	0.03923314	Modificação de proteínas
AAEL_905688	immune_response_protein	-3.4418	0.05138055	Metabolismo de lipídios
AJAP_200158	oxidative_stress_protein	0.7143	0.0027868	Apoptose
AJAP_268502	phosphatase	2.7261	0.03476199	Metabolismo de lipídios
AALB_430388	DNA_repair_protein	1.3915	0.00059861	Biossíntese de proteínas
AAEL_418408	antimicrobial_peptide	-1.086	4.2959e-08	Transporte de íons
AAEL_157545	membrane_receptor	-2.8563	0.1501175	Interação hospedeiro-microrganismo
AALB_925656	antimicrobial_peptide	-0.2417	0.00100242	Homeostase celular
AJAP_984377	trypsin_like_protease	-0.2866	0.14193635	Processamento de RNA
AJAP_140738	membrane_receptor	-1.7446	0.12926173	Proteólise
AALB_280760	ubiquitin_ligase	0.9919	0.43674441	Reparo do DNA
AALB_863978	ABC_transporter	3.3239	0.05576957	Vias de sinalização hormonal
AAEL_763937	glutathione_S_transferase	3.4209649780084646	0.08811845	Biossíntese de proteínas
AAEL_226161	proteasome_subunit	0.2889	0.11589059	Desenvolvimento larval
AJAP_944193	proteasome_subunit	-1.687	0.08701997	Replicação do DNA
AALB_398512	chitin_synthase	2.5153	0.11287381	Ciclo celular
AAEL_666202	juvenile_hormone_protein	-0.1353	0.02866425	Desenvolvimento larval
AAEL_752026	phosphatase	-1.0421	0.11475851	Metabolismo de aminoácidos
AALB_871253	tubulin	0.1146	0.15852683	Metabolismo de carboidratos
AAEL_429670	membrane_receptor	0.8495	0.15463846	Reparo do DNA
AAEL_906388	tubulin	0.2506	0.03751172	Transporte de membrana
AALB_932672	transcription_factor	2.1711	0.16028321	Metabolismo de carboidratos
AALB_194270	chitin_synthase	0.6911	0.3147685	Biossíntese de proteínas
AALB_891189	ubiquitin_ligase	-0.5111	0.02328392	Desenvolvimento de tecidos
AAEL_765755	kinase	0.7221	0.03070458	Processamento de RNA
AALB_990324	transcription_factor	0.8993	0.00094946	Metabolismo de aminoácidos
AAEL_346726	transcription_factor	-2.3335	0.25549654	Sinalização celular
AAEL_670451	trypsin_like_protease	2.069	0.00317641	Fototransdução
AALB_857907	oxidative_stress_protein	-0.5416	0.00465504	Estresse oxidativo
AALB_255989	mitochondrial_protein	-0.4956	0.05591394	Ciclo celular
AJAP_776926	transport_protein	1.3525	0.01694374	Tradução
AALB_687111	transcription_factor	1.3449	0.38777518	Processamento de RNA
AALB_251878	immune_response_protein	-1.2615	7.7e-11	Metabolismo energético
AAEL_626047	ecdysone_response_protein	1.4452	0.00562379	Interação hospedeiro-microrganismo
AAEL_535165	aquaporin	-1.0088	0.03889243	Desenvolvimento de tecidos
AAEL_233554	proteasome_subunit	3.2752	0.12480895	Reparo do DNA
AAEL_551282	signal_transduction_protein	-1.4907	0.23748282	Resposta a patógenos
AJAP_364223	signal_transduction_protein	0.4311	0.16590752	Vias de sinalização hormonal
AAEL_159676	transcription_factor	-1.4076	0.00357565	Interação hospedeiro-microrganismo
AJAP_841804	transport_protein	4.0009	9.06e-10	Sinalização celular
AALB_714685	RNA_binding_protein	1.6867960380761926	0.32742031	Metabolismo de carboidratos
AALB_717895	phosphatase	0.9439	0.18203546	Transporte de íons
AALB_249521	immune_response_protein	-1.3228	0.29573684	Resposta ao estresse
AALB_688365	phosphatase	-0.6374	0.16115985	Regulação transcricional
AALB_803662	kinase	0.8164	0.33196565	Neurogênese
AAEL_237717	mitochondrial_protein	2.2043	0.03066175	Fototransdução
AALB_662288	kinase	2.9221	0.0193199	Sinalização celular
AAEL_897917	ABC_transporter	-2.7665	0.00832674	Transporte de íons
AAEL_951587	immune_response_protein	0.482	0.2479048	Neurogênese
AALB_676775	transport_protein	2.6271	0.01974717	Detoxificação
AAEL_374486	glutathione_S_transferase	-3.0336	0.0326927	Reparo do DNA
AJAP_410914	lipid_metabolism_protein	0.5659	0.04123044	Resposta ao estresse
AJAP_962061	cytochrome_P450	-0.0038	0.00461397	Sinalização celular
