sample_id	especie	sexo	idade	replica	origem	wolbachia	infeccao
mosquito_01	Aedes_aegypti	femea	novo	1	campo	positivo	dengue
mosquito_02	Aedes_aegypti	femea	novo	2	campo	positivo	dengue
mosquito_03	Aedes_aegypti	femea	novo	3	campo	positivo	dengue
mosquito_04	Aedes_aegypti	femea	velho	1	campo	positivo	dengue
mosquito_05	Aedes_aegypti	femea	velho	2	campo	positivo	dengue
mosquito_06	Aedes_aegypti	femea	velho	3	campo	positivo	dengue
mosquito_07	Aedes_aegypti	macho	novo	1	campo	negativo	negativo
mosquito_08	Aedes_aegypti	macho	novo	2	campo	negativo	negativo
mosquito_09	Aedes_aegypti	macho	novo	3	campo	negativo	negativo
mosquito_10	Aedes_aegypti	macho	velho	1	campo	negativo	negativo
mosquito_11	Aedes_aegypti	macho	velho	2	campo	negativo	negativo
mosquito_12	Aedes_aegypti	macho	velho	3	campo	negativo	negativo
mosquito_13	Aedes_aegypti	femea	novo	1	laboratorio	positivo	zika
mosquito_14	Aedes_aegypti	femea	novo	2	laboratorio	positivo	zika
mosquito_15	Aedes_aegypti	femea	novo	3	laboratorio	positivo	zika
mosquito_16	Aedes_aegypti	femea	velho	1	laboratorio	positivo	zika
mosquito_17	Aedes_aegypti	femea	velho	2	laboratorio	positivo	zika
mosquito_18	Aedes_aegypti	femea	velho	3	laboratorio	positivo	zika
mosquito_19	Aedes_aegypti	macho	novo	1	laboratorio	negativo	dengue
mosquito_20	Aedes_aegypti	macho	novo	2	laboratorio	negativo	dengue
mosquito_21	Aedes_aegypti	macho	novo	3	laboratorio	negativo	dengue
mosquito_22	Aedes_aegypti	macho	velho	1	laboratorio	negativo	dengue
mosquito_23	Aedes_aegypti	macho	velho	2	laboratorio	negativo	dengue
mosquito_24	Aedes_aegypti	macho	velho	3	laboratorio	negativo	dengue
mosquito_25	Aedes_albopictus	femea	novo	1	campo	negativo	dengue
mosquito_26	Aedes_albopictus	femea	novo	2	campo	negativo	dengue
mosquito_27	Aedes_albopictus	femea	novo	3	campo	negativo	dengue
mosquito_28	Aedes_albopictus	femea	velho	1	campo	negativo	dengue
mosquito_29	Aedes_albopictus	femea	velho	2	campo	negativo	dengue
mosquito_30	Aedes_albopictus	femea	velho	3	campo	negativo	dengue
mosquito_31	Aedes_albopictus	macho	novo	1	campo	negativo	zika
mosquito_32	Aedes_albopictus	macho	novo	2	campo	negativo	zika
mosquito_33	Aedes_albopictus	macho	novo	3	campo	negativo	zika
mosquito_34	Aedes_albopictus	macho	velho	1	campo	negativo	zika
mosquito_35	Aedes_albopictus	macho	velho	2	campo	negativo	zika
mosquito_36	Aedes_albopictus	macho	velho	3	campo	negativo	zika
mosquito_37	Aedes_albopictus	femea	novo	1	laboratorio	negativo	negativo
mosquito_38	Aedes_albopictus	femea	novo	2	laboratorio	negativo	negativo
mosquito_39	Aedes_albopictus	femea	velho	1	laboratorio	negativo	negativo
mosquito_40	Aedes_albopictus	femea	velho	2	laboratorio	negativo	negativo
